date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2000-01-04,sh.000001,1368.6900,1407.5200,1361.2100,1406.3700,903282400,5183898112.0000,3,0.018325,1,2.911651,0.000000,0.000000,0.000000,0.000000,0
2000-01-05,sh.000001,1407.8300,1433.7800,1398.3200,1409.6800,1057939200,8137326080.0000,3,0.021446,1,0.235362,0.000000,0.000000,0.000000,0.000000,0
2000-01-06,sh.000001,1406.0400,1463.9600,1400.2500,1463.9400,1348051700,9520842752.0000,3,0.027327,1,3.849092,0.000000,0.000000,0.000000,0.000000,0
2000-01-07,sh.000001,1477.1500,1522.8300,1477.1500,1516.6000,3486939600,19487195136.0000,3,0.070685,1,3.597144,0.000000,0.000000,0.000000,0.000000,0
2000-01-10,sh.000001,1531.7100,1546.7200,1506.4000,1545.1100,3125304400,18779111424.0000,3,0.063354,1,1.879864,0.000000,0.000000,0.000000,0.000000,0
2000-01-11,sh.000001,1547.6800,1547.7100,1468.7600,1479.7800,2192456800,15771749376.0000,3,0.044354,1,-4.228175,0.000000,0.000000,0.000000,0.000000,0
2000-01-12,sh.000001,1473.7600,1489.2800,1435.0000,1438.0200,1522193400,12656691200.0000,3,0.030745,1,-2.822042,0.000000,0.000000,0.000000,0.000000,0
2000-01-13,sh.000001,1437.4500,1444.0700,1418.8100,1424.4400,861194300,7468732928.0000,3,0.017361,1,-0.944360,0.000000,0.000000,0.000000,0.000000,0
2000-01-14,sh.000001,1426.2200,1433.4700,1401.7100,1408.8500,744701300,6256399360.0000,3,0.015013,1,-1.094463,0.000000,0.000000,0.000000,0.000000,0
2000-01-17,sh.000001,1408.9900,1433.3800,1402.6600,1433.3300,764797600,6290277888.0000,3,0.015418,1,1.737586,0.000000,0.000000,0.000000,0.000000,0
2000-01-18,sh.000001,1436.8900,1443.5900,1421.6400,1426.6200,776713000,7072431104.0000,3,0.015637,1,-0.468138,0.000000,0.000000,0.000000,0.000000,0
2000-01-19,sh.000001,1425.8700,1443.6700,1425.1400,1440.7200,800479200,6493590016.0000,3,0.016115,1,0.988348,0.000000,0.000000,0.000000,0.000000,0
2000-01-20,sh.000001,1443.0900,1466.9000,1443.0900,1466.8600,1007080300,8875429888.0000,3,0.020256,1,1.814372,0.000000,0.000000,0.000000,0.000000,0
2000-01-21,sh.000001,1471.9100,1476.4600,1458.9300,1465.0900,1505077200,13743475712.0000,3,0.030267,1,-0.120667,0.000000,0.000000,0.000000,0.000000,0
2000-01-24,sh.000001,1465.8600,1477.4100,1449.4700,1477.3400,1624150700,14606044160.0000,3,0.032662,1,0.836126,0.000000,0.000000,0.000000,0.000000,0
2000-01-25,sh.000001,1483.0300,1490.4600,1467.4400,1476.5100,1363598300,12996698112.0000,3,0.027400,1,-0.056179,0.000000,0.000000,0.000000,0.000000,0
2000-01-26,sh.000001,1477.3000,1482.4600,1469.9800,1481.1200,1038443700,9577442304.0000,3,0.020832,1,0.312222,0.000000,0.000000,0.000000,0.000000,0
2000-01-27,sh.000001,1490.4500,1506.9200,1485.2300,1506.7700,1897997400,15992564736.0000,3,0.038041,1,1.731799,0.000000,0.000000,0.000000,0.000000,0
2000-01-28,sh.000001,1514.5600,1536.3500,1510.7500,1535.0000,2938816200,20709478400.0000,3,0.058902,1,1.873543,0.000000,0.000000,0.000000,0.000000,0
2000-02-14,sh.000001,1591.4500,1674.1300,1587.8200,1673.9400,4356913200,23157620736.0000,3,0.087324,1,9.051462,0.000000,0.000000,0.000000,0.000000,0
2000-02-15,sh.000001,1709.2200,1746.4400,1663.0100,1670.6700,5254342400,34925486080.0000,3,0.105241,1,-0.195341,0.000000,0.000000,0.000000,0.000000,0
2000-02-16,sh.000001,1674.9400,1695.8800,1649.7000,1693.1100,3743554800,34009001984.0000,3,0.074981,1,1.343170,0.000000,0.000000,0.000000,0.000000,0
2000-02-17,sh.000001,1734.2700,1770.8800,1615.6300,1640.6500,5143906800,47262171136.0000,3,0.103029,1,-3.098438,0.000000,0.000000,0.000000,0.000000,0
2000-02-18,sh.000001,1623.9600,1668.1600,1583.5800,1668.0900,2678535400,25842489344.0000,3,0.053637,1,1.672504,0.000000,0.000000,0.000000,0.000000,0
2000-02-21,sh.000001,1681.3600,1697.0100,1652.4800,1677.1400,3101120400,32615790592.0000,3,0.062014,1,0.542540,0.000000,0.000000,0.000000,0.000000,0
2000-02-22,sh.000001,1681.3000,1687.5100,1627.4700,1632.2900,2425177600,26178822144.0000,3,0.048479,1,-2.674194,0.000000,0.000000,0.000000,0.000000,0
2000-02-23,sh.000001,1618.0100,1630.5500,1586.6300,1594.9300,1918572800,18577262592.0000,3,0.038346,1,-2.288808,0.000000,0.000000,0.000000,0.000000,0
2000-02-24,sh.000001,1593.9500,1634.3200,1593.9300,1634.3100,1393287500,14762156032.0000,3,0.027827,1,2.469074,0.000000,0.000000,0.000000,0.000000,0
2000-02-25,sh.000001,1639.9200,1650.3700,1618.1800,1631.5800,1705805400,18504671232.0000,3,0.034069,1,-0.167049,0.000000,0.000000,0.000000,0.000000,0
2000-02-28,sh.000001,1639.8000,1704.8800,1639.7000,1704.8600,2612794600,24422227968.0000,3,0.052183,1,4.491354,0.000000,0.000000,0.000000,0.000000,0
2000-02-29,sh.000001,1728.1400,1733.1400,1678.3500,1714.5800,2867874800,32196007936.0000,3,0.057278,1,0.570133,0.000000,0.000000,0.000000,0.000000,0
2000-03-01,sh.000001,1720.6000,1721.1400,1692.5100,1697.7400,2248767400,23873890304.0000,3,0.044806,1,-0.982163,0.000000,0.000000,0.000000,0.000000,0
2000-03-02,sh.000001,1697.5600,1721.6000,1682.5400,1713.0100,1959349600,20352632832.0000,3,0.039021,1,0.899432,0.000000,0.000000,0.000000,0.000000,0
