date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2000-10-18,sh.600276,26.8800,28.4500,26.5000,27.7000,27193003,748996054.0000,3,67.982507,1,131.218700,71.688449,19.786074,8.890261,60.716968,0
2000-10-19,sh.600276,27.6100,28.1900,27.0100,27.2100,7747636,214900952.0000,3,19.369090,1,-1.768959,70.420314,19.436068,8.732996,59.642913,0
2000-10-20,sh.600276,26.9800,27.8800,26.3000,27.7500,5119527,138248375.0000,3,12.798818,1,1.984568,71.817851,19.821789,8.906308,60.826565,0
2000-10-23,sh.600276,27.8800,28.0900,27.4000,27.9000,2143731,59486626.0000,3,5.359328,1,0.540539,72.206055,19.928934,8.954450,61.155358,0
2000-10-24,sh.600276,27.9800,28.5600,27.6100,28.2800,2655946,74935642.0000,3,6.639865,1,1.362011,73.189507,20.200367,9.076411,61.988298,0
2000-10-25,sh.600276,28.0100,28.9500,27.9000,27.9000,3596403,102213937.0000,3,8.991008,1,-1.343709,72.206055,19.928934,8.954450,61.155358,0
2000-10-26,sh.600276,27.9800,28.1000,27.6100,27.7300,1486658,41407743.0000,3,3.716645,1,-0.609319,71.766090,19.807503,8.899889,60.782726,0
2000-10-27,sh.600276,27.8000,28.7900,27.7500,28.4500,2041136,57890751.0000,3,5.102840,1,2.596470,73.629472,20.321798,9.130972,62.360929,0
2000-10-30,sh.600276,28.4600,28.4900,27.7800,28.0800,1139913,31942502.0000,3,2.849782,1,-1.300530,72.671901,20.057508,9.012221,61.549908,0
2000-10-31,sh.600276,28.0300,28.1800,27.6100,27.6900,1310503,36514079.0000,3,3.276258,1,-1.388887,71.662569,19.778931,8.887051,60.695048,0
2000-11-01,sh.600276,27.6500,28.0900,27.5000,28.0000,1549265,43018501.0000,3,3.873162,1,1.119536,72.464858,20.000364,8.986545,61.374552,0
