date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2001-08-27,sh.600519,34.5100,37.7800,32.8500,35.5500,40631800,1410347179.0000,3,56.827692,1,13.252630,35.393761,15.826859,7.978001,33.845156,0
2001-08-28,sh.600519,34.9900,37.0000,34.6100,36.8600,12964779,463463143.0000,3,18.132558,1,3.684955,36.698003,16.410071,8.271987,35.092333,0
2001-08-29,sh.600519,36.9800,37.0000,36.1000,36.3800,5325275,194689620.0000,3,7.447937,1,-1.302223,36.220113,16.196375,8.164267,34.635352,0
2001-08-30,sh.600519,36.2800,37.5100,36.0000,37.1000,4801306,177558558.0000,3,6.715113,1,1.979102,36.936948,16.516919,8.325847,35.320824,0
2001-08-31,sh.600519,37.1500,37.6200,36.8000,37.0100,2323148,86231237.0000,3,3.249158,1,-0.242588,36.847344,16.476851,8.305649,35.235140,0
2001-09-03,sh.600519,37.2000,37.5700,36.8500,36.9900,2211209,82129438.0000,3,3.092600,1,-0.054030,36.827432,16.467947,8.301161,35.216099,0
2001-09-04,sh.600519,37.0100,38.0800,36.8800,37.4600,3700677,139204380.0000,3,5.175772,1,1.270607,37.295366,16.677191,8.406637,35.663560,0
2001-09-05,sh.600519,37.6100,37.9200,37.2100,37.4400,2606695,97796243.0000,3,3.645727,1,-0.053392,37.275454,16.668287,8.402148,35.644519,0
2001-09-06,sh.600519,37.3500,37.4700,36.5100,36.7000,2899703,107078403.0000,3,4.055529,1,-1.976490,36.538706,16.338839,8.236080,34.940006,0
2001-09-07,sh.600519,36.5000,36.9500,35.6500,35.6800,3155225,113868743.0000,3,4.412902,1,-2.779293,35.523189,15.884735,8.007175,33.968922,0
2001-09-10,sh.600519,35.4000,36.8500,35.0100,36.7000,1887889,68406471.0000,3,2.640404,1,2.858746,36.538706,16.338839,8.236080,34.940006,0
2001-09-11,sh.600519,36.8000,36.9500,36.2000,36.2900,1139081,41579698.0000,3,1.593120,1,-1.117166,36.130508,16.156307,8.144069,34.549668,0
2001-09-12,sh.600519,35.3300,36.2000,35.3000,35.9800,2504519,89421380.0000,3,3.502824,1,-0.854234,35.821871,16.018295,8.074500,34.254535,0
2001-09-13,sh.600519,36.0100,36.3000,35.7000,35.8900,1098668,39512775.0000,3,1.536599,1,-0.250139,35.732266,15.978227,8.054303,34.168851,0
2001-09-14,sh.600519,36.0100,36.5000,35.8000,36.3000,767283,27740691.0000,3,1.073123,1,1.142379,36.140464,16.160759,8.146314,34.559189,0
2001-09-17,sh.600519,36.0800,36.2900,35.5000,35.8400,898397,32183249.0000,3,1.256499,1,-1.267215,35.682486,15.955967,8.043082,34.121249,0
2001-09-18,sh.600519,35.8800,36.5500,35.8500,36.2500,1077326,39006062.0000,3,1.506750,1,1.143973,36.090684,16.138499,8.135093,34.511587,0
2001-09-19,sh.600519,36.3000,36.9200,36.0600,36.9200,865053,31597369.0000,3,1.209864,1,1.848271,36.757739,16.436783,8.285452,35.149456,0
2001-09-20,sh.600519,36.9000,37.0500,36.5000,36.6100,1117335,41189577.0000,3,1.562706,1,-0.839647,36.449102,16.298771,8.215883,34.854322,0
2001-09-21,sh.600519,36.2800,36.6000,36.0000,36.0600,787972,28638681.0000,3,1.102059,1,-1.502320,35.901519,16.053911,8.092454,34.330698,0
2001-09-24,sh.600519,36.0600,36.3900,36.0000,36.0500,406860,14703096.0000,3,0.569035,1,-0.027737,35.891563,16.049459,8.090210,34.321178,0
2001-09-25,sh.600519,36.2800,36.5400,36.0500,36.2300,348845,12639790.0000,3,0.487895,1,0.499307,36.070772,16.129595,8.130604,34.492546,0
2001-09-26,sh.600519,36.1100,36.4800,36.0000,36.0800,495626,17892565.0000,3,0.693183,1,-0.414015,35.921431,16.062815,8.096942,34.349739,0
2001-09-27,sh.600519,36.0800,36.9800,36.0000,36.7000,877804,32085131.0000,3,1.227698,1,1.718400,36.538706,16.338839,8.236080,34.940006,0
2001-09-28,sh.600519,36.9000,37.2000,36.5000,37.0900,1708847,63169143.0000,3,2.389996,1,1.062669,36.926992,16.512467,8.323603,35.311303,0
2001-10-08,sh.600519,37.0000,37.1800,36.2500,36.5800,655217,24091149.0000,3,0.916387,1,-1.375029,36.419234,16.285415,8.209150,34.825761,0
