date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-03-16,sz.002371,58.0000,61.1800,57.1800,59.0000,11073746,656181827.9600,3,83.588059,1,78.787880,77.308318,13.219503,6.529022,33.759921,0
2010-03-17,sz.002371,58.0000,60.3500,57.2000,59.4600,6141142,362587251.7300,3,46.355239,1,0.779700,77.911061,13.322571,6.579926,34.023134,0
2010-03-18,sz.002371,59.6600,60.0000,57.6000,58.7100,4249323,249301397.7300,3,32.075204,1,-1.261400,76.928328,13.154526,6.496930,33.593983,0
2010-03-19,sz.002371,58.0000,58.4500,55.3800,55.6200,4117693,232224608.2600,3,31.081620,1,-5.263200,72.879468,12.462183,6.154986,31.825878,0
2010-03-22,sz.002371,55.1600,56.9000,55.1600,56.3300,2086870,117126234.7000,3,15.752340,1,1.276500,73.809789,12.621265,6.233556,32.232142,0
2010-03-23,sz.002371,56.3000,56.3000,55.1300,55.6300,1572838,87621078.3300,3,11.872268,1,-1.242700,72.892572,12.464423,6.156093,31.831600,0
2010-03-24,sz.002371,55.6800,61.1900,55.6800,61.1900,3616067,214330102.6200,3,27.295192,1,9.994600,80.177898,13.710194,6.771370,35.013044,0
2010-03-25,sz.002371,63.0000,64.8000,62.2100,62.3800,5627423,357084711.5000,3,42.477529,1,1.944800,81.737167,13.976824,6.903057,35.693964,0
2010-03-26,sz.002371,62.7000,65.8900,62.2500,63.9700,3755596,239525849.5300,3,28.348400,1,2.548900,83.820561,14.333079,7.079009,36.603766,0
2010-03-29,sz.002371,64.5500,65.5800,62.0300,64.9200,2576796,164600541.1200,3,19.450453,1,1.485100,85.065356,14.545935,7.184137,37.147357,0
2010-03-30,sz.002371,64.0000,67.7900,63.7000,66.5000,2473972,163902727.8300,3,18.674306,1,2.433800,87.135646,14.899949,7.358982,38.051437,0
2010-03-31,sz.002371,65.8000,67.7500,65.5500,66.0000,2057656,137116995.2900,3,15.531824,1,-0.751900,86.480491,14.787919,7.303652,37.765336,0
2010-04-01,sz.002371,66.0200,70.7000,65.7000,66.2800,2586952,176288275.4400,3,19.527114,1,0.424200,86.847378,14.850656,7.334637,37.925552,0
2010-04-02,sz.002371,65.5000,67.1800,64.6000,65.8400,2095565,138061580.3300,3,15.817973,1,-0.663900,86.270842,14.752070,7.285946,37.673783,0
2010-04-06,sz.002371,66.0400,69.9000,65.0000,69.5000,2050340,138471299.8200,3,15.476600,1,5.558900,91.066578,15.572127,7.690967,39.768043,0
2010-04-07,sz.002371,69.4900,70.9800,68.2000,70.0000,2234843,155584623.3600,3,16.869286,1,0.719400,91.721733,15.684157,7.746297,40.054144,0
2010-04-08,sz.002371,69.1500,69.8300,65.8000,65.8400,2295345,156051523.6200,3,17.325974,1,-5.942900,86.270842,14.752070,7.285946,37.673783,0
2010-04-09,sz.002371,66.5000,67.3600,65.0000,67.0000,1718300,114132821.3200,3,12.970260,1,1.761800,87.790802,15.011979,7.414313,38.337538,0
2010-04-12,sz.002371,67.0000,68.1500,66.0200,67.2700,1727645,115683756.7400,3,13.040799,1,0.403000,88.144585,15.072475,7.444192,38.492032,0
2010-04-13,sz.002371,67.3100,67.3900,60.5400,63.3000,2876875,182706650.3100,3,21.715542,1,-5.901600,82.942653,14.182959,7.004866,36.220390,0
2010-04-14,sz.002371,62.0000,63.7900,61.5500,63.3000,1315579,82588352.6800,3,9.930397,1,0.000000,82.942653,14.182959,7.004866,36.220390,0
2010-04-15,sz.002371,62.8000,63.5000,58.4600,59.6900,1386954,84490282.2800,3,10.469158,1,-5.703000,78.212432,13.374104,6.605378,34.154741,0
2010-04-16,sz.002371,59.8500,61.3600,59.0000,60.1100,1150559,69342458.8000,3,8.684775,1,0.703600,78.762763,13.468209,6.651856,34.395066,0
2010-04-19,sz.002371,60.1100,61.4700,59.4500,59.8500,983645,59670899.9800,3,7.424857,1,-0.432500,78.422082,13.409954,6.623084,34.246293,0
2010-04-20,sz.002371,59.8000,60.5100,57.5200,59.2000,1008018,59224360.5500,3,7.608832,1,-1.086000,77.570380,13.264315,6.551154,33.874362,0
2010-04-21,sz.002371,59.3000,63.6000,58.8200,63.2400,1463628,90615191.7900,3,11.047917,1,6.824300,82.864034,14.169515,6.998226,36.186058,0
2010-04-22,sz.002371,62.9000,65.5400,62.8800,64.1000,1460378,93712012.3600,3,11.023385,1,1.359900,81.664673,5.071613,6.826980,7.245040,0
2010-04-23,sz.002371,63.0000,65.4300,63.0000,63.0000,971416,62267650.9800,3,7.332548,1,-1.716100,80.263251,4.984581,6.709825,7.120710,0
2010-04-26,sz.002371,63.0000,65.6300,62.9200,64.5000,1064557,68801271.6900,3,8.035605,1,2.381000,82.174281,5.103261,6.869582,7.290251,0
2010-04-27,sz.002371,64.1000,64.1000,60.0000,61.7000,1319778,81293652.4100,3,9.962092,1,-4.341100,78.607025,4.881724,6.571368,6.973775,0
2010-04-28,sz.002371,60.4200,61.6800,59.6800,60.8300,829713,50448345.9800,3,6.262930,1,-1.410000,77.498628,4.812890,6.478708,6.875441,0
2010-04-29,sz.002371,61.2400,61.6000,58.0600,58.2200,664651,39948192.3400,3,5.016991,1,-4.290600,74.173436,4.606386,6.200730,6.580440,0
2010-04-30,sz.002371,57.8800,59.2900,56.0000,59.2900,593570,34124791.1600,3,4.480450,1,1.837900,75.536637,4.691044,6.314691,6.701379,0
2010-05-04,sz.002371,58.0000,60.5000,56.3500,59.9300,358807,21406612.9100,3,2.708386,1,1.079400,76.352010,4.741681,6.382854,6.773717,0
2010-05-05,sz.002371,59.6000,61.4400,59.4000,61.3200,515105,31287135.1500,3,3.888172,1,2.319400,78.122898,4.851659,6.530896,6.930824,0
2010-05-06,sz.002371,61.2200,61.4000,60.0000,60.0300,552668,33514226.6900,3,4.171709,1,-2.103700,76.479412,4.749593,6.393504,6.785019,0
2010-05-07,sz.002371,58.1300,60.7400,58.1300,60.2800,502769,30073485.4600,3,3.795056,1,0.416500,76.797917,4.769374,6.420131,6.813276,0
2010-05-10,sz.002371,61.5800,61.5800,55.2000,56.6000,692814,39599281.0400,3,5.229574,1,-6.104800,72.109524,4.478211,6.028192,6.397336,0
2010-05-11,sz.002371,57.2000,58.0000,52.8200,53.0000,587590,32615202.3000,3,4.435311,1,-6.360400,67.523052,4.193378,5.644773,5.990439,0
2010-05-12,sz.002371,51.5500,52.0500,47.8000,48.9300,863173,42933506.4700,3,6.515497,1,-7.679200,62.337792,3.871358,5.211297,5.530418,0
2010-05-13,sz.002371,48.9000,49.8000,46.5800,49.8000,635360,30805971.2100,3,4.795894,1,1.778100,63.446189,3.940192,5.303957,5.628752,0
2010-05-14,sz.002371,49.4800,50.3800,48.0000,49.6000,693141,34195828.4700,3,5.232043,1,-0.401600,63.191385,3.924368,5.282656,5.606146,0
2010-05-17,sz.002371,48.0100,49.0400,47.0000,47.4000,477221,22951153.4300,3,3.602212,1,-4.435500,60.388541,3.750304,5.048344,5.357487,0
2010-05-18,sz.002371,46.0000,48.2600,45.9500,47.9000,545429,25593959.6700,3,4.117067,1,1.054900,61.025551,3.789864,5.101597,5.414000,0
2010-05-19,sz.002371,47.9000,47.9000,47.9000,47.9000,0,0.0000,3,,0,0.000000,61.025551,3.789864,5.101597,5.414000,0
2010-05-20,sz.002371,47.9000,49.8200,47.2000,48.0000,775915,37842851.5200,3,5.856846,1,0.208800,61.152953,3.797776,5.112247,5.425303,0
2010-05-21,sz.002371,46.0000,49.9600,45.7100,49.8100,882396,42460747.6600,3,6.660598,1,3.770800,63.458929,3.940984,5.305022,5.629882,0
2010-05-24,sz.002371,50.0000,52.9700,50.0000,52.9000,1002320,51756417.3700,3,7.565821,1,6.203600,67.395650,4.185466,5.634123,5.979136,0
2010-05-25,sz.002371,52.0800,53.7000,51.5000,52.6000,793804,41816815.6400,3,5.991878,1,-0.567100,67.013444,4.161729,5.602171,5.945228,0
2010-05-26,sz.002371,52.5900,53.4800,51.0000,52.0200,424691,22093152.3000,3,3.205699,1,-1.102700,66.274513,4.115840,5.540398,5.879672,0
2010-05-27,sz.002371,51.9800,53.5800,51.0000,53.1300,630175,33048261.9600,3,4.756756,1,2.133800,67.688675,4.203663,5.658619,6.005132,0
2010-05-28,sz.002371,53.6700,54.6800,53.0200,53.2000,536395,28799535.2200,3,4.048875,1,0.131800,67.777856,4.209202,5.666074,6.013044,0
2010-05-31,sz.002371,53.1800,53.1800,49.8000,49.8000,508751,26270450.4700,3,3.840210,1,-6.391000,63.446189,3.940192,5.303957,5.628752,0
2010-06-01,sz.002371,49.1800,49.9600,47.4000,48.6300,510188,24766957.5600,3,3.851057,1,-2.349400,61.955586,3.847622,5.179346,5.496510,0
2010-06-02,sz.002371,48.1000,49.8800,47.8600,49.8800,299400,14647035.2800,3,2.259964,1,2.570400,63.548110,3.946522,5.312477,5.637794,0
2010-06-03,sz.002371,50.0200,51.5900,49.8800,50.3000,475197,24105803.2100,3,3.586934,1,0.842000,64.083199,3.979753,5.357209,5.685265,0
2010-06-04,sz.002371,49.5500,51.0700,49.3000,51.0000,231944,11678562.2300,3,1.750785,1,1.391700,64.975013,4.035137,5.431763,5.764384,0
2010-06-07,sz.002371,49.9800,52.7300,49.3000,52.3300,592473,30587618.7900,3,4.472169,1,2.607800,66.669459,4.140367,5.573415,5.914710,0
2010-06-08,sz.002371,52.3200,54.2000,51.8000,53.8000,752002,39991578.9900,3,5.676344,1,2.809100,68.542268,4.256674,5.729977,6.080860,0
2010-06-09,sz.002371,54.0000,54.6000,53.3200,53.8000,646441,34867315.6200,3,4.879537,1,0.000000,68.542268,4.256674,5.729977,6.080860,0
2010-06-10,sz.002371,53.6000,54.8300,53.4500,54.2700,435805,23698683.8100,3,3.289591,1,0.873600,69.141058,4.293860,5.780035,6.133983,0
2010-06-11,sz.002371,54.5000,55.7400,54.3500,55.3900,543345,29958196.0800,3,4.101336,1,2.063800,70.567960,4.382475,5.899320,6.260573,0
2010-06-17,sz.002371,54.2500,55.5000,52.8100,53.2700,1860505,100910881.3700,3,11.234934,1,-3.827400,67.867038,4.214740,5.673529,6.020956,0
